BNF_Section,BNF_Name,Prespecified,N_Wards,Total_Items,Kendall_Tau,P_Value,Significant,D1_Mean,D10_Mean
21.34,BNF 21.34,False,79,294,-0.04186952288218111,0.584997945595189,False,0.32926645183632597,0.29269615946219985
11.8,Tear Deficiency & Ocular Lubricants,False,178,31129,-0.0418333015933473,0.4070861514330547,False,15.56152955754893,14.552290885563329
21.22,BNF 21.22,False,178,174735,-0.04094458198438393,0.4171244919502388,False,93.73515876903004,81.88069194605242
8.3,Sex Hormones & Cancer,False,178,47828,-0.036500983939567064,0.46945938152278655,False,25.066406522260404,22.777644690973087
2.8,Anticoagulants & Protamine,False,178,297126,-0.03535834444232845,0.4834810964896912,False,139.9690515209308,128.48067882074193
5.2,Antifungals,False,178,43772,-0.033326985336126456,0.5089598497470083,False,20.509270014788395,21.069776909709216
15.2,Anaesthetics (Local),False,178,31549,-0.03129562622992446,0.5351250172685516,False,16.011613134000225,16.689243099713828
11.3,Anti-infective (Eye),False,178,20794,-0.02850250745889672,0.572176480390661,False,10.719278385356002,9.405926216521799
6.3,Corticosteroids,False,178,132915,-0.02659810829683235,0.5981182269635219,False,65.35202165428677,55.17724924256552
13.11,Skin Cleansers,False,174,3021,-0.02438376187628729,0.6328934602054668,False,1.3091418752617074,1.4132252204787485
21.23,BNF 21.23,False,176,10991,-0.022857142857142857,0.6524436757574787,False,6.53490572781874,4.6891353345852185
21.21,BNF 21.21,False,178,14742,-0.02145691161214194,0.6706838864642883,False,8.906464341668446,7.051245971784228
21.36,BNF 21.36,False,63,219,-0.017921146953405017,0.8355505685460951,False,0.27668456901762684,0.46993861167585455
5.3,Antivirals,False,178,22310,-0.01656827270996001,0.7426530425833072,False,11.276677989591915,10.801338694788775
3.6,Oxygen,False,156,1594,-0.01621174524400331,0.7639065542767179,False,0.7668242128404804,0.5652609697320605
9.2,Fluids & Electrolytes,False,178,31423,-0.014156033771345142,0.7790651800646271,False,14.929676775327478,14.525387174958894
20.12,BNF 20.12,False,178,6264,-0.013267314162381768,0.792608190470979,False,3.3563141817022144,2.476230160096047
23.45,BNF 23.45,False,145,1886,-0.013218390804597701,0.8135055714326607,False,1.1736991169030686,1.0698137978060687
13.6,Acne & Rosacea,False,178,34220,-0.011235955056179777,0.8237933196501692,False,18.15753670803494,17.23033840784144
19.5,BNF 19.5,False,20,89,-0.010526315789473684,0.9744669029388741,False,0.47478559412720933,0.6453798770049932
21.27,BNF 21.27,False,178,14278,-0.005649717514124295,0.9108524377273848,False,6.032720178051239,5.985986208309139
21.28,BNF 21.28,False,128,1176,-0.003198818897637796,0.9572914313354866,False,0.8534776429116177,0.8064562834104193
23.96,BNF 23.96,False,150,1386,-8.948545861297538e-05,0.9987034554633295,False,0.9578759293542913,0.7835205850897597
19.6,BNF 19.6,False,44,139,0.008456659619450317,0.9355102678363284,False,0.3438040266525419,0.14496915617574652
13.3,Barrier Preparations,False,178,9268,0.00856979622928966,0.8651421796326599,False,4.312000754904769,3.5673657554074123
